Отметка времени,Расход,Доход,Комментарии,Ресурсы,Группы,Адрес электронной почты,,,
17.12.2016 3:51:25,600,,ремонт свитера,НАЛ,Одежда,,,,
18.12.2016 1:55:40,,10000,Перемога от бабушки ,НАЛ,Прочие доходы,,,,
18.12.2016 2:00:06,1200,,,НАЛ,Дашины занятия,,,,
18.12.2016 2:03:09,200,,На плюшки,НАЛ,Дашины занятия,,,,
18.12.2016 5:05:01,3000,,Банкет Италония,НАЛ,Развлечения,,,,
18.12.2016 5:05:42,744,,,НАЛ,Продукты,,,,
18.12.2016 10:14:43,600,,ремонт сапог,НАЛ,Одежда,,,,
19.12.2016 0:56:25,500,,барахло Сафронова,НАЛ,Непредвиденные расходы,,,,
19.12.2016 0:56:51,,500,барахло Сафронова,Сбербанк зарплата,ПлюсКарта,,,,
19.12.2016 2:55:17,160,,Даша,Сбербанк Маша,Обед,,,,
19.12.2016 2:56:40,315,,,НАЛ,Обед,,,,
19.12.2016 3:35:26,250,,,НАЛ,Обед,,,,
19.12.2016 8:30:29,2000,,,Сбербанк зарплата,МинусКарта,,,,
19.12.2016 8:31:05,,2000,,НАЛ,ПлюсНалик,,,,
19.12.2016 8:32:02,,20600,,Сбербанк зарплата,Сбербанк зарплата,,,,
19.12.2016 8:32:25,361,,,Сбербанк Маша,Продукты,,,,
19.12.2016 8:32:52,250,,,Сбербанк зарплата,Мобильная связь,,,,
19.12.2016 8:33:28,3270,,,Сбербанк Маша,Подарки,,,,
19.12.2016 8:34:54,5000,,,НАЛ,МинусНалик,,,,
19.12.2016 8:35:17,,5000,,Сбербанк Маша,ПлюсКарта,,,,
19.12.2016 8:36:05,,30584,,ВТБ,ВТБ,,,,
19.12.2016 8:40:37,1000,,,Сбербанк Маша,На отпуск,,,,
19.12.2016 8:41:24,,1000,,"Отпуск, накопления",ПлюсОтпуск,,,,
19.12.2016 8:47:07,1000,,,НАЛ,Дашины занятия,,,,
19.12.2016 21:19:14,"1100,66",,,ВТБ,Коммунальные расходы,,,,
19.12.2016 21:24:22,"6426,65",,,ВТБ,Коммунальные расходы,,,,
19.12.2016 21:28:37,250,,,НАЛ,Продукты,,,,
19.12.2016 22:48:44,2000,,,Сбербанк зарплата,МинусКарта,,,,
19.12.2016 22:49:03,3287,,,Сбербанк зарплата,МинусКарта,,,,
19.12.2016 22:51:10,,3287,,Сбербанк кредит,ПлюсКарта,,,,
19.12.2016 22:51:54,,2000,,Сбербанк Маша,ПлюсКарта,,,,
19.12.2016 22:54:09,"1912,87",,,Сбербанк Маша,Коммунальные расходы,,,,
20.12.2016 2:27:31,315,,Маша,НАЛ,Обед,,,,
20.12.2016 2:27:47,160,,Даша,Сбербанк Маша,Обед,,,,
20.12.2016 11:37:15,3000,,,ВТБ,МинусКарта,,,,
20.12.2016 11:37:29,,3000,,НАЛ,ПлюсНалик,,,,
20.12.2016 11:37:59,1000,,,НАЛ,Продукты,,,,
21.12.2016 1:12:22,100,,Даша,Сбербанк Маша,Обед,,,,
21.12.2016 1:12:34,100,,Даша,ВТБ,Обед,,,,
21.12.2016 1:12:50,100,,Зубная фея,НАЛ,Подарки,,,,
21.12.2016 1:25:43,300,,,Сбербанк Маша,МинусКарта,,,,
21.12.2016 1:25:53,,300,,НАЛ,ПлюсНалик,,,,
21.12.2016 1:28:15,105,,,НАЛ,Обед,,,,
21.12.2016 2:42:04,300,,маленькие Олейниковы,НАЛ,Подарки,,,,
21.12.2016 2:42:40,235,,,НАЛ,Обед,,,,
21.12.2016 2:43:04,2145,,большие Олейниковы,ВТБ,Подарки,,,,
21.12.2016 3:20:43,250,,,НАЛ,Обед,,,,
21.12.2016 6:41:30,2000,,,ВТБ,МинусКарта,,,,
21.12.2016 6:41:55,,2000,,НАЛ,ПлюсНалик,,,,
21.12.2016 7:37:44,1000,,Пицца,НАЛ,Развлечения,,,,
21.12.2016 7:38:21,234,,сок,Сбербанк зарплата,Продукты,,,,
21.12.2016 9:50:43,1400,,,НАЛ,Дашины занятия,,,,
21.12.2016 9:51:14,420,,,НАЛ,Медицина,,,,
22.12.2016 5:41:59,250,,,НАЛ,Обед,,,,
22.12.2016 5:42:15,1000,,,Сбербанк зарплата,МинусКарта,,,,
22.12.2016 5:42:35,,1000,,НАЛ,ПлюсНалик,,,,
22.12.2016 9:11:38,1100,,,НАЛ,Продукты,,,,
22.12.2016 9:12:42,300,,,НАЛ,Дашины занятия,,,,
22.12.2016 22:06:40,2000,,,ВТБ,МинусКарта,,,,
22.12.2016 22:06:52,,2000,,НАЛ,ПлюсНалик,,,,
23.12.2016 4:11:28,280,,,НАЛ,Подарки,,,,
23.12.2016 4:11:59,150,,Даша,ВТБ,Обед,,,,
23.12.2016 4:12:24,380,,,НАЛ,Обед,,,,
23.12.2016 4:15:21,,1700,Возврат за такси,НАЛ,Транспорт,,,,
23.12.2016 20:22:04,829,,конфетки,НАЛ,Продукты,,,,
23.12.2016 20:23:40,1620,,карта тройка для Павлика,Сбербанк зарплата,МинусКарта,,,,
23.12.2016 20:24:07,,1620,,НАЛ,ПлюсНалик,,,,
23.12.2016 20:25:55,,30500,,ВТБ,ВТБ,,,,
24.12.2016 1:09:42,1200,,,НАЛ,Дашины занятия,,,,
24.12.2016 2:11:17,4000,,,ВТБ,МинусКарта,,,,
24.12.2016 2:11:52,,4000,,НАЛ,ПлюсНалик,,,,
24.12.2016 3:59:29,1830,,бензин,Сбербанк зарплата,Авто,,,,
25.12.2016 0:46:32,3500,,,НАЛ,Дашины занятия,,,,
25.12.2016 0:47:03,150,,,НАЛ,Транспорт,,,,
25.12.2016 0:47:31,350,,Плюшки Даше,НАЛ,Продукты,,,,
25.12.2016 1:17:45,550,,,НАЛ,Парфюмерия & косметика,,,,
25.12.2016 9:37:31,400,,Такси,НАЛ,Транспорт,,,,
25.12.2016 9:37:51,160,,,НАЛ,Продукты,,,,
25.12.2016 9:38:29,21956,,,Росбанк кредит,Развлечения,,,,
25.12.2016 9:38:48,1000,,ресторан,НАЛ,Развлечения,,,,
25.12.2016 9:40:31,250,,,НАЛ,Коммунальные расходы,,,,
25.12.2016 9:43:15,3843,,,Сбербанк зарплата,Подарки,,,,
25.12.2016 9:47:42,829,,,Сбербанк зарплата,Продукты,,,,
25.12.2016 10:37:25,"7777,87",,,ВТБ,Коммунальные расходы,,,,
26.12.2016 3:35:12,320,,,НАЛ,Обед,,,,
26.12.2016 3:35:28,310,,,НАЛ,Продукты,,,,
26.12.2016 10:28:31,310,,Колготки,ВТБ,Одежда,,,,
26.12.2016 10:28:49,353,,,ВТБ,Продукты,,,,
26.12.2016 10:29:03,303,,,НАЛ,Продукты,,,,
26.12.2016 10:29:36,567,,,ВТБ,Дашины занятия,,,,
26.12.2016 10:29:54,648,,,НАЛ,Развлечения,,,,
26.12.2016 10:30:12,830,,,ВТБ,Развлечения,,,,
26.12.2016 10:30:55,2500,,,ВТБ,МинусКарта,,,,
26.12.2016 10:31:09,,2500,,НАЛ,ПлюсНалик,,,,
26.12.2016 10:31:19,1400,,,НАЛ,Дашины занятия,,,,
27.12.2016 0:16:22,368,,кофе в офис+шоколадка,Сбербанк зарплата,Непредвиденные расходы,,,,
27.12.2016 3:15:10,220,,,НАЛ,Обед,,,,
27.12.2016 3:15:27,730,,,Сбербанк зарплата,МинусКарта,,,,
27.12.2016 3:15:59,,730,паяльник,Сбербанк интернет,ПлюсКарта,,,,
27.12.2016 3:16:25,730,,,Сбербанк интернет,"Бытовая техника, мебель",,,,
27.12.2016 9:54:24,303,,,ВТБ,Продукты,,,,
27.12.2016 9:54:45,650,,,ВТБ,Транспорт,,,,
27.12.2016 9:55:47,400,,,НАЛ,Продукты,,,,
27.12.2016 10:47:11,190,,,НАЛ,Продукты,,,,
27.12.2016 23:41:35,130,,mobile,Сбербанк зарплата,Мобильная связь,,,,
28.12.2016 0:58:00,2000,,,ВТБ,МинусКарта,,,,
28.12.2016 0:58:33,,2000,,НАЛ,ПлюсНалик,,,,
28.12.2016 0:58:49,150,,Даша,ВТБ,Обед,,,,
28.12.2016 2:39:14,900,,,НАЛ,Одежда,,,,
28.12.2016 2:39:23,282,,,НАЛ,Обед,,,,
28.12.2016 4:11:04,250,,,НАЛ,Обед,,,,
28.12.2016 4:11:21,1000,,,Сбербанк зарплата,МинусКарта,,,,
28.12.2016 4:11:33,,1000,,НАЛ,ПлюсНалик,,,,
28.12.2016 9:18:22,2323,,,ВТБ,Продукты,,,,
28.12.2016 20:07:46,200,,,НАЛ,Подарки,,,,
29.12.2016 3:27:47,200,,атласные ленточки,НАЛ,Дашины занятия,,,,
29.12.2016 3:27:58,250,,,НАЛ,Обед,,,,
29.12.2016 3:28:58,50,,,Сбербанк зарплата,Мобильная связь,,,,
29.12.2016 10:54:16,1000,,,ВТБ,МинусКарта,,,,
29.12.2016 10:55:05,,1000,,НАЛ,ПлюсНалик,,,,
29.12.2016 10:57:40,882,,,НАЛ,Продукты,,,,
29.12.2016 23:16:22,,190,Даша вернула сдачу,НАЛ,ПлюсНалик,,,,
29.12.2016 23:16:35,2000,,,Сбербанк зарплата,МинусКарта,,,,
29.12.2016 23:16:48,,2000,,НАЛ,ПлюсНалик,,,,
29.12.2016 23:17:01,460,,,НАЛ,Продукты,,,,
29.12.2016 23:17:14,360,,,НАЛ,Продукты,,,,
30.12.2016 4:23:54,375,,,ВТБ,Обед,,,,
30.12.2016 4:50:48,1990,,,Сбербанк зарплата,"Бытовая техника, мебель",,,,
30.12.2016 4:51:13,3000,,,Сбербанк зарплата,МинусКарта,,,,
30.12.2016 4:51:32,,3000,,Сбербанк Маша,ПлюсКарта,,,,
30.12.2016 10:45:23,325,,,ВТБ,Продукты,,,,
30.12.2016 10:45:51,620,,,НАЛ,Продукты,,,,
31.12.2016 0:11:13,508,,,НАЛ,Продукты,,,,
31.12.2016 0:11:57,1200,,,НАЛ,Дашины занятия,,,,
31.12.2016 0:13:03,2500,,,Сбербанк Маша,МинусКарта,,,,
31.12.2016 0:13:25,,2500,,НАЛ,ПлюсНалик,,,,
31.12.2016 0:26:14,100,,,НАЛ,Подарки,,,,
31.12.2016 0:26:36,150,,,НАЛ,Обед,,,,
31.12.2016 0:26:36,,80000,Перемога,НАЛ,ПлюсНалик,,,,
01.01.2017 4:06:33,1000,,,НАЛ,Обед,,,,
01.01.2017 4:31:01,,24400,,Сбербанк зарплата,ПлюсКарта,,,,
01.01.2017 5:24:33,20000,,,НАЛ,МинусНалик,,,,
01.01.2017 5:25:13,,20000,,"Отпуск, накопления",На отпуск,,,,
01.01.2017 5:32:03,1617,,,ВТБ,Продукты,,,,
01.01.2017 5:38:14,8154,,,ВТБ,Коммунальные расходы,,,,
31.12.2016 0:26:14,100,,,НАЛ,Транспорт,,,,
31.12.2016 0:26:14,700,,,НАЛ,Одежда,,,,
01.01.2017 9:30:14,500,,Благотворительность ,ВТБ,Непредвиденные расходы,,,,
01.01.2017 22:38:44,400,,Платная дорога ,НАЛ,Развлечения,,,,
02.01.2017 0:44:02,520,,,ВТБ,Продукты,,,,
02.01.2017 0:44:50,1612,,Бензин,ВТБ,Авто,,,,
02.01.2017 4:06:54,426,,,ВТБ,Обед,,,,
02.01.2017 4:18:00,1000,,,НАЛ,Авто,,,,
03.01.2017 2:53:04,80,,,НАЛ,Транспорт,,,,
03.01.2017 2:54:18,5450,,Телефон Даше,ВТБ,"Бытовая техника, мебель",,,,
03.01.2017 2:55:17,2850,,Ботинки Даше,НАЛ,Одежда,,,,
03.01.2017 2:56:03,533,,,ВТБ,Обед,,,,
03.01.2017 5:33:42,580,,,ВТБ,Дашины занятия,,,,
03.01.2017 5:34:04,650,,,НАЛ,Подарки,,,,
03.01.2017 5:34:36,531,,,ВТБ,Подарки,,,,
03.01.2017 5:35:02,1381,,,НАЛ,Подарки,,,,
03.01.2017 5:35:39,300,,,ВТБ,Мобильная связь,,,,
03.01.2017 21:41:47,890,,,НАЛ,Продукты,,,,
03.01.2017 21:42:26,1783,,бензин,НАЛ,Авто,,,,
04.01.2017 4:16:31,200,,,Сбербанк зарплата,Мобильная связь,,,,
04.01.2017 12:08:38,200,,,Сбербанк Маша,Мобильная связь,,,,
05.01.2017 6:30:10,221,,кофе,НАЛ,Продукты,,,,
05.01.2017 6:31:21,156,,маркер,НАЛ,"Бытовая техника, мебель",,,,
05.01.2017 6:31:57,455,,,НАЛ,Продукты,,,,
05.01.2017 6:32:25,2200,,,НАЛ,Парикмахерская,,,,
06.01.2017 1:52:07,984,,бабушка лекарства,Сбербанк зарплата,Медицина,,,,
06.01.2017 1:52:38,1867,,,Сбербанк зарплата,Продукты,,,,
06.01.2017 5:13:30,1600,,,НАЛ,Развлечения,,,,
06.01.2017 5:13:47,900,,,НАЛ,Одежда,,,,
07.01.2017 0:53:48,308,,,ВТБ,Продукты,,,,
07.01.2017 0:55:00,1927,,,Сбербанк зарплата,Авто,,,,
07.01.2017 6:12:35,1317,,,Сбербанк зарплата,Авто,,,,
08.01.2017 0:32:32,3475,,,Сбербанк зарплата,Продукты,,,,
08.01.2017 0:32:50,298,,,НАЛ,Продукты,,,,
08.01.2017 0:36:03,1000,,,Сбербанк зарплата,Развлечения,,,,
08.01.2017 0:38:18,1616,,,НАЛ,Развлечения,,,,
08.01.2017 5:04:57,11800,,,НАЛ,Одежда,,,,
08.01.2017 7:01:06,2000,,,Сбербанк зарплата,МинусКарта,,,,
08.01.2017 7:01:23,,2000,,Сбербанк Маша,ПлюсКарта,,,,
08.01.2017 7:01:36,1200,,,Сбербанк Маша,Одежда,,,,
08.01.2017 7:01:55,260,,,НАЛ,Развлечения,,,,
08.01.2017 7:05:03,9012,,Лыжи,Росбанк кредит,Развлечения,,,,
08.01.2017 7:05:46,500,,,НАЛ,Парикмахерская,,,,
08.01.2017 7:06:06,400,,Мойка машины,НАЛ,Авто,,,,
08.01.2017 23:06:54,300,,,Сбербанк Маша,Развлечения,,,,
08.01.2017 23:07:07,200,,Даша,Сбербанк Маша,Обед,,,,
09.01.2017 6:47:51,347,,,НАЛ,Парфюмерия & косметика,,,,
09.01.2017 6:48:16,69,,,НАЛ,Одежда,,,,
09.01.2017 6:48:40,57,,,Сбербанк Маша,Дашины занятия,,,,
09.01.2017 8:37:19,419,,Хозтовары,НАЛ,"Бытовая техника, мебель",,,,
09.01.2017 8:38:16,252,,,НАЛ,Продукты,,,,
09.01.2017 8:38:27,1000,,,НАЛ,Дашины занятия,,,,
09.01.2017 9:02:58,48,,,НАЛ,Продукты,,,,
09.01.2017 9:03:28,325,,,НАЛ,Обед,,,,
09.01.2017 21:13:23,500,,,Сбербанк Маша,Мобильная связь,,,,
10.01.2017 4:13:52,530,,,НАЛ,Обед,,,,
10.01.2017 9:02:52,479,,,Сбербанк зарплата,Продукты,,,,
10.01.2017 9:03:20,440,,,НАЛ,Продукты,,,,
10.01.2017 9:04:56,150,,,НАЛ,Продукты,,,,
10.01.2017 9:05:36,96,,,НАЛ,Дашины занятия,,,,
11.01.2017 2:47:40,250,,,НАЛ,Обед,,,,
11.01.2017 2:48:04,66,,Орбит,НАЛ,Продукты,,,,
11.01.2017 3:13:43,100,,,ВТБ,Мобильная связь,,,,
11.01.2017 3:13:56,100,,,НАЛ,Обед,,,,
11.01.2017 7:53:51,3500,,,Сбербанк зарплата,МинусКарта,,,,
11.01.2017 7:54:46,,3500,,НАЛ,ПлюсНалик,,,,
11.01.2017 7:55:12,1300,,,НАЛ,Медицина,,,,
11.01.2017 7:55:51,1300,,,НАЛ,Одежда,,,,
11.01.2017 7:56:08,1000,,,НАЛ,Дашины занятия,,,,
11.01.2017 8:10:20,-1300,,,НАЛ,Медицина,,,,
11.01.2017 8:10:44,481,,,НАЛ,Продукты,,,,
11.01.2017 9:44:05,1400,,,НАЛ,Медицина,,,,
12.01.2017 2:15:55,150,,,НАЛ,Обед,,,,
12.01.2017 2:16:19,500,,,"Отпуск, накопления",МинусОтпуск,,,,
12.01.2017 2:16:36,,500,,Сбербанк Маша,ПлюсКарта,,,,
12.01.2017 2:17:19,400,,Даша +коррекция,Сбербанк Маша,Обед,,,,
12.01.2017 2:18:45,250,,,НАЛ,Обед,,,,
12.01.2017 8:17:01,50,,,НАЛ,Продукты,,,,
12.01.2017 9:50:04,2000,,,НАЛ,МинусНалик,,,,
12.01.2017 9:50:23,,2000,,Сбербанк Маша,ПлюсКарта,,,,
12.01.2017 9:50:38,1100,,,Сбербанк Маша,Парикмахерская,,,,
12.01.2017 9:50:55,191,,,Сбербанк Маша,Продукты,,,,
12.01.2017 9:54:59,500,,,Сбербанк Маша,МинусКарта,,,,
12.01.2017 9:55:15,,500,,"Отпуск, накопления",ПлюсОтпуск,,,,
12.01.2017 10:01:20,1000,,,НАЛ,МинусНалик,,,,
12.01.2017 10:01:31,,1000,,Сбербанк Маша,ПлюсКарта,,,,
12.01.2017 10:41:11,2000,,,НАЛ,Дашины занятия,,,,
13.01.2017 3:22:24,560,,,НАЛ,Одежда,,,,
13.01.2017 3:22:57,430,,,НАЛ,Обед,,,,
13.01.2017 3:29:41,,105000,,Сбербанк зарплата,Сбербанк зарплата,,,,
13.01.2017 3:29:59,250,,,НАЛ,Обед,,,,
13.01.2017 9:17:22,1700,,,НАЛ,Транспорт,,,,
13.01.2017 9:17:46,1713,,,НАЛ,Продукты,,,,
14.01.2017 8:46:34,498,,,Сбербанк зарплата,Обед,,,,
14.01.2017 8:46:47,50000,,,Сбербанк зарплата,МинусКарта,,,,
14.01.2017 8:47:01,,50000,,НАЛ,ПлюсНалик,,,,
14.01.2017 10:47:48,2300,,,НАЛ,Продукты,,,,
14.01.2017 11:14:57,1000,,,Сбербанк зарплата,МинусКарта,,,,
14.01.2017 11:15:14,,1000,,Сбербанк интернет,ПлюсКарта,,,,
14.01.2017 11:15:35,1000,,третьяковка,Сбербанк интернет,Развлечения,,,,
15.01.2017 1:03:36,1200,,,НАЛ,Дашины занятия,,,,
15.01.2017 1:03:54,215,,,НАЛ,Парфюмерия & косметика,,,,
15.01.2017 1:04:09,650,,,НАЛ,Дашины занятия,,,,
15.01.2017 1:04:21,1488,,,Сбербанк Маша,Дашины занятия,,,,
15.01.2017 1:09:00,400,,,НАЛ,Продукты,,,,
15.01.2017 1:10:17,300,,,НАЛ,CORR,,,,
15.01.2017 23:34:35,55000,,,Сбербанк зарплата,МинусКарта,,,,
15.01.2017 23:34:48,,55000,,НАЛ,ПлюсНалик,,,,
15.01.2017 23:34:59,68500,,,НАЛ,Ипотека,,,,
15.01.2017 23:37:07,,35000,,Росбанк кредит,ПлюсКарта,,,,
16.01.2017 0:21:52,"2769,9",,Налоги,Сбербанк Маша,Коммунальные расходы,,,,
16.01.2017 0:22:22,,3000,,Сбербанк Маша,ПлюсКарта,,,,
16.01.2017 0:22:09,3000,,,"Отпуск, накопления",МинусОтпуск,,,,
16.01.2017 0:26:39,35000,,,НАЛ,Непредвиденные расходы,,,,
16.01.2017 0:56:03,1649,,МГТС ,Сбербанк зарплата,Коммунальные расходы,,,,
16.01.2017 0:56:28,1500,,штраф ГИБДД,Сбербанк зарплата,Авто,,,,
16.01.2017 0:58:00,1045,,Налог на имущество,Сбербанк зарплата,Коммунальные расходы,,,,
16.01.2017 3:19:25,850,,,НАЛ,Обед,,,,
16.01.2017 3:56:16,250,,,НАЛ,Обед,,,,
16.01.2017 3:56:59,400,,кофе в офис + шоколадка,НАЛ,Продукты,,,,
16.01.2017 9:13:53,1500,,,НАЛ,Парикмахерская,,,,
16.01.2017 9:14:12,750,,,НАЛ,Продукты,,,,
16.01.2017 9:14:25,1000,,,НАЛ,Дашины занятия,,,,
17.01.2017 2:57:53,250,,,НАЛ,Обед,,,,
17.01.2017 6:28:07,500,,,НАЛ,Обед,,,,
17.01.2017 9:43:45,1000,,,НАЛ,Продукты,,,,
17.01.2017 9:44:16,,32383,,ВТБ,ВТБ,,,,
17.01.2017 9:50:50,1700,,,Сбербанк зарплата,Транспорт,,,,
18.01.2017 8:43:03,3000,,,ВТБ,МинусКарта,,,,
18.01.2017 8:43:31,,3000,,НАЛ,ПлюсНалик,,,,
18.01.2017 8:43:55,5500,,,ВТБ,Одежда,,,,
18.01.2017 8:44:20,1700,,,ВТБ,Транспорт,,,,
18.01.2017 9:32:39,250,,,НАЛ,Обед,,,,
18.01.2017 9:48:11,1000,,,НАЛ,Дашины занятия,,,,
18.01.2017 9:49:01,6000,,,НАЛ,На отпуск,,,,
18.01.2017 9:49:14,,6000,,"Отпуск, накопления",ПлюсОтпуск,,,,
19.01.2017 2:53:36,250,,,НАЛ,Обед,,,,
19.01.2017 3:04:04,375,,,ВТБ,Обед,,,,
19.01.2017 8:58:35,2800,,,ВТБ,МинусКарта,,,,
19.01.2017 8:59:14,,1800,,НАЛ,ПлюсНалик,,,,
19.01.2017 9:00:36,400,,,НАЛ,Подарки,,,,
19.01.2017 9:01:31,1000,,,НАЛ,Продукты,,,,
19.01.2017 9:56:03,800,,,НАЛ,Дашины занятия,,,,
19.01.2017 9:56:28,600,,,НАЛ,Парикмахерская,,,,
19.01.2017 9:57:36,,1000,,НАЛ,ПлюсНалик,,,,
19.01.2017 10:08:49,3000,,,ВТБ,Развлечения,,,,
19.01.2017 21:27:59,525,,,ВТБ,Подарки,,,,
20.01.2017 3:23:21,400,,,НАЛ,Обед,,,,
20.01.2017 8:02:04,3000,,,ВТБ,МинусКарта,,,,
20.01.2017 8:02:28,,3000,,НАЛ,ПлюсНалик,,,,
20.01.2017 9:10:10,369,,,НАЛ,Продукты,,,,
20.01.2017 10:45:25,250,,,НАЛ,Обед,,,,
20.01.2017 10:46:02,,20600,,Сбербанк зарплата,Сбербанк зарплата,,,,
20.01.2017 10:46:44,300,,пиво+орбит,НАЛ,Развлечения,,,,
20.01.2017 10:46:56,1000,,,Сбербанк зарплата,МинусКарта,,,,
20.01.2017 10:47:09,,1000,,НАЛ,ПлюсНалик,,,,
20.01.2017 11:21:36,100,,,ВТБ,Мобильная связь,,,,
20.01.2017 23:44:05,1250,,,НАЛ,Дашины занятия,,,,
21.01.2017 8:48:26,550,,,ВТБ,Развлечения,,,,
21.01.2017 8:48:44,1740,,,ВТБ,Обед,,,,
21.01.2017 8:51:15,200,,,ВТБ,CORR,,,,
21.01.2017 9:56:03,1500,,,НАЛ,CORR,,,,
22.01.2017 2:23:23,831,,запчасти к выключателю,Сбербанк зарплата,"Бытовая техника, мебель",,,,
22.01.2017 2:24:06,1747,,,Сбербанк зарплата,Авто,,,,
22.01.2017 2:24:21,3000,,,Сбербанк зарплата,МинусКарта,,,,
22.01.2017 2:24:34,,3000,,НАЛ,ПлюсНалик,,,,
22.01.2017 4:30:52,600,,,НАЛ,Продукты,,,,
22.01.2017 4:31:13,357,,,ВТБ,"Бытовая техника, мебель",,,,
22.01.2017 7:42:38,715,,,ВТБ,Продукты,,,,
22.01.2017 23:30:08,150,,кофе+круассан,НАЛ,Обед,,,,
23.01.2017 3:12:50,200,,,НАЛ,Подарки,,,,
23.01.2017 3:13:02,350,,очки,НАЛ,Непредвиденные расходы,,,,
23.01.2017 3:13:15,200,,Даша,ВТБ,Обед,,,,
23.01.2017 8:06:27,900,,Коробка для шитья,ВТБ,Дашины занятия,,,,
23.01.2017 9:21:37,250,,,НАЛ,Обед,,,,
23.01.2017 23:30:53,2730,,подарок Павлику,Сбербанк зарплата,Подарки,,,,
24.01.2017 3:50:44,120,,,НАЛ,Обед,,,,
24.01.2017 3:53:16,250,,,НАЛ,Обед,,,,
24.01.2017 3:53:03,1000,,,НАЛ,Дашины занятия,,,,
24.01.2017 4:01:13,700,,,НАЛ,CORR,,,,
24.01.2017 8:55:18,2000,,,ВТБ,МинусКарта,,,,
24.01.2017 8:55:41,,2000,,НАЛ,ПлюсНалик,,,,
24.01.2017 8:56:29,700,,,НАЛ,Продукты,,,,
24.01.2017 9:48:17,254,,зубная щетка,НАЛ,Медицина,,,,
24.01.2017 9:49:05,400,,на зубы,НАЛ,Медицина,,,,
25.01.2017 4:29:51,250,,,НАЛ,Обед,,,,
25.01.2017 5:32:04,150,,,НАЛ,Обед,,,,
25.01.2017 9:02:20,171,,,ВТБ,Продукты,,,,
25.01.2017 9:02:48,355,,,НАЛ,Продукты,,,,
25.01.2017 10:47:05,350,,Рамка,НАЛ,"Бытовая техника, мебель",,,,
26.01.2017 2:48:26,230,,,НАЛ,Обед,,,,
26.01.2017 2:49:09,2000,,,Сбербанк зарплата,МинусКарта,,,,
26.01.2017 2:49:30,,2000,,Сбербанк Маша,ПлюсКарта,,,,
26.01.2017 2:51:33,1000,,,Сбербанк Маша,Дашины занятия,,,,
26.01.2017 3:10:56,250,,,НАЛ,Обед,,,,
26.01.2017 3:11:13,800,,,Сбербанк зарплата,МинусКарта,,,,
26.01.2017 3:11:25,,800,,НАЛ,ПлюсНалик,,,,
26.01.2017 8:40:21,1500,,,ВТБ,МинусКарта,,,,
26.01.2017 8:41:19,,1500,,НАЛ,ПлюсНалик,,,,
26.01.2017 8:41:32,605,,,НАЛ,Продукты,,,,
26.01.2017 8:41:40,500,,,НАЛ,Подарки,,,,
26.01.2017 9:09:30,300,,,НАЛ,Продукты,,,,
27.01.2017 6:31:06,500,,,НАЛ,Обед,,,,
27.01.2017 9:15:57,2000,,,ВТБ,МинусКарта,,,,
27.01.2017 9:16:12,,2000,,НАЛ,ПлюсНалик,,,,
27.01.2017 9:16:35,335,,,ВТБ,Продукты,,,,
27.01.2017 9:16:47,300,,,НАЛ,Продукты,,,,
27.01.2017 9:17:00,360,,,НАЛ,Обед,,,,
27.01.2017 9:17:15,200,,,НАЛ,Дашины занятия,,,,
28.01.2017 1:49:29,375,,,Сбербанк зарплата,Подарки,,,,
28.01.2017 6:34:30,1746,,,Сбербанк зарплата,Продукты,,,,
28.01.2017 13:20:19,3500,,,Сбербанк зарплата,МинусКарта,,,,
28.01.2017 13:20:35,,3500,,НАЛ,ПлюсНалик,,,,
28.01.2017 13:20:51,950,,пиво,НАЛ,Развлечения,,,,
28.01.2017 13:21:03,100,,,НАЛ,Медицина,,,,
28.01.2017 13:25:42,1000,,пицца,НАЛ,Продукты,,,,
29.01.2017 10:22:22,700,,,НАЛ,Продукты,,,,
29.01.2017 10:22:40,1500,,,НАЛ,Дашины занятия,,,,
30.01.2017 1:53:48,272,,,НАЛ,Обед,,,,
30.01.2017 1:54:05,200,,Даша,Сбербанк Маша,Обед,,,,
30.01.2017 2:11:20,256,,,Сбербанк Маша,Продукты,,,,
30.01.2017 2:52:41,250,,,НАЛ,Обед,,,,
30.01.2017 11:07:40,500,,,НАЛ,Дашины занятия,,,,
31.01.2017 3:25:03,375,,,Сбербанк Маша,Обед,,,,
31.01.2017 5:38:15,250,,,НАЛ,Обед,,,,
31.01.2017 9:26:17,1127,,,ВТБ,Продукты,,,,
01.02.2017 3:22:58,800,,,Сбербанк зарплата,МинусКарта,,,,
01.02.2017 3:23:10,800,,,НАЛ,ПлюсНалик,,,,
01.02.2017 3:23:21,250,,,НАЛ,Обед,,,,
01.02.2017 8:09:00,370,,,Сбербанк Маша,Развлечения,,,,
01.02.2017 9:09:35,620,,,Сбербанк зарплата,Медицина,,,,
01.02.2017 9:09:56,1500,,,Сбербанк Маша,МинусКарта,,,,
01.02.2017 9:10:21,,1500,,НАЛ,ПлюсНалик,,,,
01.02.2017 9:12:08,1000,,,НАЛ,Дашины занятия,,,,
01.02.2017 9:13:59,3000,,,Сбербанк зарплата,МинусКарта,,,,
01.02.2017 9:14:17,,3000,,Сбербанк Маша,ПлюсКарта,,,,
01.02.2017 9:21:06,,1600,,НАЛ,ПлюсНалик,,,,
02.02.2017 5:28:43,350,,,НАЛ,Обед,,,,
02.02.2017 8:17:50,2000,,,"Отпуск, накопления",МинусОтпуск,,,,
