Отметка времени,Расход,Доход,Комментарии,Ресурсы,Группы,Адрес электронной почты,,,
13.11.2016 1:57:48,300,,,НАЛ,Продукты,,,,
13.11.2016 9:25:21,5700,,Замена колес+ хранение,Сбербанк зарплата,Авто,,,,
14.11.2016 0:16:40,565,,масло для машины,Сбербанк зарплата,Авто,,,,
14.11.2016 0:17:13,105,,мармелад для Даши,Сбербанк зарплата,Продукты,,,,
14.11.2016 0:17:51,120,,шаурма куринная !!!,НАЛ,Обед,,,,
14.11.2016 0:18:10,500,,,Сбербанк зарплата,МинусКарта,,,,
14.11.2016 0:18:33,,500,,НАЛ,ПлюсНалик,,,,
14.11.2016 0:44:03,200,,,НАЛ,Продукты,,,,
14.11.2016 2:42:48,250,,,НАЛ,Обед,,,,
14.11.2016 5:34:02,110,,Булочки и хурма,НАЛ,Обед,,,,
14.11.2016 8:51:35,3000,,,ВТБ,МинусКарта,,,,
14.11.2016 8:51:49,,3000,,НАЛ,ПлюсНалик,,,,
14.11.2016 8:52:27,1185,,,ВТБ,Продукты,,,,
14.11.2016 9:12:01,1000,,,НАЛ,Дашины занятия,,,,
14.11.2016 9:40:02,500,,,Сбербанк зарплата,МинусКарта,,,,
14.11.2016 9:40:14,,500,,НАЛ,ПлюсКарта,,,,
14.11.2016 23:20:40,100,,метро,НАЛ,Транспорт,,,,
15.11.2016 0:21:39,170,,,НАЛ,Обед,,,,
15.11.2016 3:48:14,100,,Фруктики,НАЛ,Продукты,,,,
15.11.2016 3:48:41,277,,,НАЛ,Обед,,,,
15.11.2016 10:50:40,250,,,НАЛ,Обед,,,,
15.11.2016 21:20:39,150,,Вкусняшки Даше,НАЛ,Продукты,,,,
15.11.2016 23:46:46,3000,,,Сбербанк зарплата,МинусКарта,,,,
15.11.2016 23:47:00,,3000,,НАЛ,ПлюсНалик,,,,
15.11.2016 23:47:50,690,,microSD карточка,НАЛ,"Бытовая техника, мебель",,,,
16.11.2016 2:51:37,450,,,НАЛ,Обед,,,,
16.11.2016 6:17:44,250,,,НАЛ,Обед,,,,
16.11.2016 6:17:59,103,,,НАЛ,Обед,,,,
16.11.2016 9:29:54,485,,,НАЛ,Продукты,,,,
16.11.2016 9:30:17,316,,Фрукты,ВТБ,Продукты,,,,
16.11.2016 9:30:31,1000,,,НАЛ,Дашины занятия,,,,
16.11.2016 9:34:49,500,,Потеряно,НАЛ,CORR,,,,
16.11.2016 23:34:46,60,,Каша,НАЛ,Обед,,,,
16.11.2016 23:35:05,200,,ДР коллеги,НАЛ,Подарки,,,,
17.11.2016 1:16:38,160,,,НАЛ,Транспорт,,,,
17.11.2016 3:06:04,250,,,НАЛ,Обед,,,,
17.11.2016 19:43:35,550,,бассейн,НАЛ,Развлечения,,,,
17.11.2016 19:44:11,839,,,Сбербанк зарплата,Продукты,,,,
17.11.2016 19:44:30,1000,,,Сбербанк зарплата,МинусКарта,,,,
17.11.2016 19:44:44,,1000,,НАЛ,ПлюсНалик,,,,
17.11.2016 19:47:07,200,,Даше на конюшню,НАЛ,Обед,,,,
18.11.2016 6:40:48,300,,,НАЛ,Обед,,,,
18.11.2016 9:43:51,140,,Селедка,НАЛ,Обед,,,,
18.11.2016 9:44:29,250,,,НАЛ,Обед,,,,
18.11.2016 9:59:37,560,,Фрукты овощи,ВТБ,ВТБ,,,,
18.11.2016 10:00:24,313,,Мясо,ВТБ,Продукты,,,,
18.11.2016 10:00:47,95,,,НАЛ,Продукты,,,,
19.11.2016 22:03:23,525,,,Сбербанк зарплата,Парфюмерия & косметика,,,,
19.11.2016 22:03:38,440,,,НАЛ,Развлечения,,,,
19.11.2016 22:04:20,3961,,,Сбербанк зарплата,Продукты,,,,
19.11.2016 22:04:42,3000,,,Сбербанк зарплата,МинусКарта,,,,
19.11.2016 22:04:57,,3000,,НАЛ,ПлюсНалик,,,,
19.11.2016 22:06:20,113,,Канцтовары,НАЛ,Дашины занятия,,,,
19.11.2016 22:08:23,1500,,тренировка,НАЛ,Дашины занятия,,,,
20.11.2016 1:49:47,300,,Ремонт ботинок,НАЛ,Одежда,,,,
20.11.2016 1:50:18,375,,Лампочки,НАЛ,"Бытовая техника, мебель",,,,
20.11.2016 1:50:30,250,,,НАЛ,Продукты,,,,
21.11.2016 3:31:45,360,,,ВТБ,Обед,,,,
21.11.2016 3:32:02,"218,5",,Фрукты,ВТБ,Продукты,,,,
21.11.2016 5:52:44,1000,,,Сбербанк зарплата,МинусКарта,,,,
21.11.2016 5:52:57,,1000,,НАЛ,ПлюсНалик,,,,
21.11.2016 5:53:11,250,,,НАЛ,Обед,,,,
21.11.2016 5:53:24,100,,,НАЛ,Транспорт,,,,
21.11.2016 6:32:46,,20600,,Сбербанк зарплата,Сбербанк зарплата,,,,
21.11.2016 8:32:47,,5000,,Сбербанк Маша,ПлюсКарта,,,,
21.11.2016 8:32:35,5000,,,Сбербанк зарплата,МинусКарта,,,,
21.11.2016 8:33:42,1000,,,ВТБ,Дашины занятия,,,,
21.11.2016 8:34:05,1000,,,ВТБ,МинусКарта,,,,
21.11.2016 8:34:17,,1000,,НАЛ,ПлюсНалик,,,,
